# SAMANVAYA ISRO SIH PS 26166 PLANETARY REGISTRATION EVALUATION REPORT
# Metric,Value,Unit
total_matches,185,count
inlier_count,148,count
inlier_ratio_percent,80.00,%
rmse_pixels,0.3631,pixels
control_point_rmse_pixels,N/A,pixels
spatial_uniformity_score,0.8766,normalized_shannon
mean_residual_pixels,0.3459,pixels
median_residual_pixels,0.3845,pixels
max_residual_pixels,0.4969,pixels
std_residual_pixels,0.1105,pixels
ce90_pixels,0.4714,pixels
meets_isro_mandate,True,boolean
processing_time_ms,2404.89,ms
#
# TIE POINT RESIDUAL TABLE
id,ref_x,ref_y,src_x,src_y,reprojected_ref_x,reprojected_ref_y,residual_pixels,confidence,subpixel_refined
0,50.176,55.595,47.870,55.977,50.124,55.377,0.2246,0.9997,True
1,58.287,71.328,56.000,72.000,58.703,71.183,0.4405,0.9996,False
2,54.238,207.492,48.000,208.000,54.389,207.417,0.1687,0.9994,False
3,71.007,223.071,64.000,224.000,70.857,222.977,0.1771,0.9993,False
4,54.557,215.520,48.000,216.000,54.606,215.424,0.1083,0.9992,False
5,66.562,71.039,64.000,72.000,66.714,70.976,0.1640,0.9991,False
6,53.728,167.452,48.000,168.000,53.300,167.392,0.4320,0.9990,False
7,58.445,63.107,55.630,64.199,58.120,63.395,0.4342,0.9989,True
8,105.867,38.046,104.023,39.853,105.878,37.846,0.2004,0.9989,True
9,33.298,15.413,32.000,16.000,33.140,15.822,0.4393,0.9988,False
10,90.188,61.911,87.465,63.974,89.979,62.354,0.4903,0.9985,True
11,46.236,207.095,39.616,207.160,45.962,206.812,0.3940,0.9981,True
12,97.922,38.403,96.338,40.519,98.211,38.705,0.4186,0.9978,True
13,50.044,47.006,48.000,48.000,50.038,47.401,0.3946,0.9977,False
14,102.553,230.467,95.788,232.249,102.911,230.326,0.3851,0.9965,True
15,45.074,175.485,39.698,175.902,45.194,175.526,0.1265,0.9964,True
16,73.623,39.063,71.924,40.123,73.777,38.925,0.2068,0.9961,True
17,88.947,30.883,87.510,32.074,89.152,30.494,0.4393,0.9961,True
18,25.806,63.316,23.735,63.489,26.143,63.504,0.3858,0.9957,True
19,54.487,199.406,48.000,200.000,54.171,199.411,0.3161,0.9955,False
20,209.435,26.375,207.980,31.445,209.390,26.851,0.4779,0.9955,True
21,134.057,181.474,128.000,184.000,133.802,181.186,0.3847,0.9939,False
22,30.074,215.937,24.000,216.000,30.541,216.102,0.4951,0.9931,False
23,18.286,80.713,15.404,80.224,18.241,80.456,0.2606,0.9923,True
24,31.338,231.799,24.000,232.000,30.975,232.124,0.4874,0.9913,False
25,81.857,38.625,80.048,40.164,81.908,38.761,0.1456,0.9908,True
26,98.299,46.312,96.291,48.025,98.370,46.201,0.1315,0.9908,True
27,151.688,220.900,144.466,223.902,151.356,220.598,0.4489,0.9908,True
28,89.414,14.671,88.000,16.000,89.203,14.432,0.3195,0.9901,False
29,25.498,32.311,24.000,32.000,25.555,32.015,0.3018,0.9892,False
30,106.455,70.063,103.602,71.731,106.330,69.687,0.3960,0.9877,True
31,102.607,221.942,96.000,224.000,102.898,222.069,0.3171,0.9873,False
32,18.920,63.335,16.202,63.275,18.584,63.484,0.3675,0.9873,True
33,133.627,173.418,128.000,176.000,133.582,173.193,0.2295,0.9865,False
34,38.197,200.412,32.010,200.062,38.142,199.921,0.4939,0.9831,True
35,66.151,55.044,63.603,55.698,65.872,54.696,0.4456,0.9806,True
36,125.985,181.047,120.000,184.000,125.805,181.407,0.4030,0.9782,False
37,98.808,70.600,96.000,72.000,98.735,70.152,0.4538,0.9782,False
38,65.915,46.825,63.968,48.303,66.036,47.299,0.4890,0.9775,True
39,44.560,143.641,40.000,144.000,44.630,143.600,0.0816,0.9746,False
40,101.646,190.129,95.885,191.870,101.902,189.943,0.3169,0.9697,True
41,50.993,79.153,47.727,80.018,50.635,79.412,0.4418,0.9674,True
42,119.037,229.480,111.957,231.472,119.066,229.087,0.3934,0.9664,True
